Name,AB,H,HR,RBI
Miguel Montero,241,52,8,33
Anthony Rizzo,583,170,32,109
Ben Zobrist,523,142,18,76
Addison Russell,525,125,21,95
Kris Bryant,603,176,39,102
Jorge Soler,227,54,12,31
Dexter Fowler,456,126,13,48
Jason Heyward,530,122,7,49
Javier Baez,421,115,14,59
Willson Contreras,252,71,12,35
David Ross,166,38,10,32
Matt Szczur,185,48,5,24
Tommy La Stella,148,40,2,11
Chris Coghlan,103,26,1,16
Albert Almora,112,31,3,14
Tim Federowicz,31,6,0,3
Munenori Kawasaki,21,7,0,1
Jeimer Candelario,11,1,0,0
Ryan Kalish,7,2,0,2
Kyle Schwarber,4,0,0,0
Jon Lester,59,6,0,6
Jake Arrieta,65,17,2,7
Jason Hammel,65,16,0,7
John Lackey,63,6,0,2
Kyle Hendricks,58,8,0,2
Travis Wood,11,2,0,1
Mike Montgomery,11,1,0,1
Trevor Cahill,8,1,0,1