Abbrev,spacesAfter,spacesBefore,spacesAfterNewRow,spacesAfterSameRow
AK,10,0,0,10
ME,10,10,10,0
VT,0,10,0,0
NH,1,0,1,0
WA,0,1,0,0
ID,0,0,0,0
MT,0,0,0,0
ND,0,0,0,0
MN,0,0,0,0
IL,0,0,0,0
WI,0,0,0,0
MI,0,0,0,0
NY,0,0,0,0
RI,0,0,0,0
MA,1,0,1,0
OR,0,1,0,0
NV,0,0,0,0
WY,0,0,0,0
SD,0,0,0,0
IA,0,0,0,0
IN,0,0,0,0
OH,0,0,0,0
PA,0,0,0,0
NJ,0,0,0,0
CT,2,0,1,1
CA,0,2,0,0
VT,0,0,0,0
CO,0,0,0,0
NE,0,0,0,0
MO,0,0,0,0
KY,0,0,0,0
WV,0,0,0,0
VA,0,0,0,0
MD,0,0,0,0
DC,3,0,2,1
AZ,0,3,0,0
NM,0,0,0,0
KS,0,0,0,0
AR,0,0,0,0
TN,0,0,0,0
NC,0,0,0,0
SC,0,0,0,0
DE,6,0,4,2
OK,0,6,0,0
LA,0,0,0,0
MS,0,0,0,0
AL,0,0,0,0
GA,3,0,0,3
HI,3,3,0,3
TX,4,3,0,4
FL,2,4,0,2